Step,TrueNoise,ResidualNoise
0,1.01431660,1.01431660
1,0.99787470,0.99787470
2,0.98068798,-0.05909344
3,0.96277052,-3.02256633
4,0.94414223,-1.45777831
5,0.92482162,-0.87774216
6,0.90481913,-0.60724951
7,0.88415219,-0.45469879
8,0.86284103,-0.35267760
9,0.84089974,-0.27415473
10,0.81835671,-0.20858593
11,0.79522329,-0.15301662
12,0.77152014,-0.10737946
13,0.74726688,-0.07185312
14,0.72248786,-0.04578521
15,0.69720844,-0.02774344
16,0.67144013,-0.01596001
17,0.64520035,-0.00871066
18,0.61851970,-0.00453029
19,0.59141951,-0.00229606
20,0.56391360,-0.00122221
21,0.53603740,-0.00078531
22,0.50780116,-0.00068227
23,0.47922604,-0.00072359
24,0.45034209,-0.00081471
25,0.42117212,-0.00090216
26,0.39173559,-0.00096496
27,0.36205046,-0.00101052
28,0.33214747,-0.00103681
29,0.30205153,-0.00104322
30,0.27177907,-0.00103385
31,0.24135452,-0.00101748
32,0.21080973,-0.00099419
33,0.18016043,-0.00096638
34,0.14943034,-0.00093359
35,0.11864634,-0.00090333
36,0.08783396,-0.00086859
37,0.05701122,-0.00083359
38,0.02620743,-0.00079489
39,-0.00455395,-0.00075699
40,-0.03525508,-0.00071836
41,-0.06586432,-0.00067222
42,-0.09636725,-0.00063100
43,-0.12674560,-0.00059634
44,-0.15697108,-0.00057273
45,-0.18701720,-0.00054893
46,-0.21685785,-0.00051157
47,-0.24648890,-0.00048301
48,-0.27587484,-0.00045504
49,-0.30499362,-0.00043496
50,-0.33383085,-0.00040817
51,-0.36235685,-0.00037664
52,-0.39056053,-0.00035451
53,-0.41841942,-0.00033271
54,-0.44591829,-0.00032240
55,-0.47302492,-0.00030436
56,-0.49973279,-0.00028918
57,-0.52601753,-0.00026735
58,-0.55185723,-0.00024738
59,-0.57723727,-0.00022367
60,-0.60213800,-0.00019673
61,-0.62654244,-0.00017178
62,-0.65043922,-0.00015209
63,-0.67381424,-0.00014165
64,-0.69664197,-0.00013113
65,-0.71891539,-0.00012202
66,-0.74061508,-0.00010549
67,-0.76172713,-0.00009095
68,-0.78223430,-0.00006996
69,-0.80212429,-0.00004665
70,-0.82138705,-0.00002472
71,-0.84000536,-0.00000302
72,-0.85797633,0.00000972
73,-0.87528278,0.00002181
74,-0.89191092,0.00003320
75,-0.90785023,0.00005181
76,-0.92308994,0.00007615
77,-0.93762723,0.00009582
78,-0.95144675,0.00011512
79,-0.96454839,0.00012415
80,-0.97691600,0.00013778
81,-0.98854707,0.00014789
82,-0.99943871,0.00015741
83,-1.00958058,0.00016470
84,-1.01896825,0.00017045
85,-1.02760007,0.00017600
86,-1.03547056,0.00018048
87,-1.04257022,0.00018989
88,-1.04890547,0.00019650
89,-1.05446572,0.00020869
90,-1.05925024,0.00021966
91,-1.06325723,0.00023609
92,-1.06649387,0.00024556
93,-1.06895613,0.00024970
94,-1.07064099,0.00025200
95,-1.07155003,0.00025893
96,-1.07168610,0.00026903
97,-1.07105578,0.00027365
98,-1.06965632,0.00027772
99,-1.06748923,0.00028315
100,-1.06456458,0.00028841
101,-1.06088339,0.00029415
102,-1.05645277,0.00029424
103,-1.05127890,0.00029297
104,-1.04536848,0.00028886
105,-1.03872763,0.00028316
106,-1.03135560,0.00028544
107,-1.02327318,0.00028331
108,-1.01447588,0.00028916
109,-1.00498488,0.00028349
110,-0.99480039,0.00028366
111,-0.98393175,0.00028195
112,-0.97238894,0.00028680
113,-0.96018982,0.00028675
114,-0.94733924,0.00028511
115,-0.93385253,0.00027637
116,-0.91973644,0.00027282
117,-0.90501348,0.00026145
118,-0.88968394,0.00025702
119,-0.87376950,0.00024725
120,-0.85728314,0.00024028
121,-0.84023123,0.00023513
122,-0.82263513,0.00022935
123,-0.80450885,0.00022518
124,-0.78586552,0.00021732
125,-0.76672182,0.00020868
126,-0.74709653,0.00019665
127,-0.72699989,0.00018557
128,-0.70645047,0.00017472
129,-0.68545912,0.00017297
130,-0.66404906,0.00016949
131,-0.64223564,0.00016647
132,-0.62004210,0.00015134
133,-0.59747812,0.00013680
134,-0.57455806,0.00012757
135,-0.55131141,0.00011744
136,-0.52774557,0.00011247
137,-0.50388148,0.00010320
138,-0.47973862,0.00009797
139,-0.45534416,0.00008187
140,-0.43070538,0.00006573
141,-0.40584048,0.00005191
142,-0.38077813,0.00004012
143,-0.35553540,0.00002458
144,-0.33013324,-0.00000243
145,-0.30457833,-0.00001827
146,-0.27890120,-0.00003287
147,-0.25311904,-0.00004139
148,-0.22725682,-0.00006423
149,-0.20132274,-0.00008224
150,-0.17534410,-0.00010209
151,-0.14933462,-0.00011174
152,-0.12331165,-0.00012047
153,-0.09729645,-0.00012496
154,-0.07130133,-0.00012265
155,-0.04535125,-0.00012390
156,-0.01947425,-0.00013581
157,0.00632611,-0.00015094
158,0.03202193,-0.00017216
159,0.05759867,-0.00018222
160,0.08303599,-0.00019768
161,0.10830893,-0.00021895
162,0.13341178,-0.00023601
163,0.15831552,-0.00025931
164,0.18300733,-0.00027435
165,0.20747599,-0.00028814
166,0.23169744,-0.00029821
167,0.25565213,-0.00030892
168,0.27932594,-0.00032785
169,0.30270949,-0.00034182
170,0.32578876,-0.00034297
171,0.34853521,-0.00034589
172,0.37094021,-0.00035208
173,0.39298790,-0.00036853
174,0.41466604,-0.00037871
175,0.43595283,-0.00039220
176,0.45684170,-0.00040122
177,0.47731496,-0.00041418
178,0.49735296,-0.00042905
179,0.51695093,-0.00044437
180,0.53609796,-0.00045606
181,0.55478175,-0.00045587
182,0.57298938,-0.00045172
183,0.59069932,-0.00045833
184,0.60791090,-0.00046810
185,0.62461457,-0.00047775
186,0.64079206,-0.00048416
187,0.65643769,-0.00048946
188,0.67153317,-0.00050772
189,0.68608230,-0.00051851
190,0.70006767,-0.00053180
191,0.71348805,-0.00053278
192,0.72633364,-0.00053473
193,0.73859156,-0.00053699
194,0.75025765,-0.00054372
195,0.76132859,-0.00055152
196,0.77179817,-0.00055426
197,0.78166072,-0.00055204
198,0.79090802,-0.00055244
199,0.79953330,-0.00055880
200,0.80753718,-0.00056608
201,0.81491741,-0.00057054
202,0.82166818,-0.00057024
203,0.82778935,-0.00056695
204,0.83327712,-0.00056409
205,0.83812872,-0.00056227
206,0.84234019,-0.00056606
207,0.84591118,-0.00057346
208,0.84884292,-0.00058192
209,0.85113625,-0.00058624
210,0.85279146,-0.00058667
211,0.85380465,-0.00058986
212,0.85418410,-0.00059053
213,0.85392969,-0.00059124
214,0.85304091,-0.00058972
215,0.85152869,-0.00058269
216,0.84939342,-0.00057426
217,0.84663538,-0.00056383
218,0.84325476,-0.00056294
219,0.83926737,-0.00056036
220,0.83467105,-0.00055932
221,0.82947070,-0.00055474
222,0.82366864,-0.00055862
223,0.81728061,-0.00055905
224,0.81030846,-0.00055802
225,0.80276380,-0.00054626
226,0.79465509,-0.00053117
227,0.78598476,-0.00051693
228,0.77676403,-0.00050396
229,0.76700085,-0.00049642
230,0.75670491,-0.00048870
231,0.74588864,-0.00047728
232,0.73455425,-0.00047061
233,0.72271827,-0.00046181
234,0.71038349,-0.00046160
235,0.69756992,-0.00045400
236,0.68428214,-0.00045055
237,0.67053703,-0.00043867
238,0.65634530,-0.00042597
239,0.64172096,-0.00040738
240,0.62667130,-0.00039214
241,0.61121105,-0.00037935
242,0.59534593,-0.00037718
243,0.57909835,-0.00037231
244,0.56248495,-0.00036100
245,0.54551009,-0.00034537
246,0.52818333,-0.00033676
247,0.51052715,-0.00033333
248,0.49255108,-0.00033339
249,0.47427668,-0.00032070
250,0.45570843,-0.00031194
251,0.43687034,-0.00029534
252,0.41777126,-0.00028491
253,0.39843143,-0.00026695
254,0.37885722,-0.00025772
255,0.35906997,-0.00024665
256,0.33908644,-0.00023655
257,0.31891454,-0.00022682
258,0.29856763,-0.00022286
259,0.27807238,-0.00021816
260,0.25744263,-0.00020575
261,0.23669443,-0.00018128
262,0.21584344,-0.00015562
263,0.19490286,-0.00013424
264,0.17389328,-0.00011271
265,0.15282987,-0.00009128
266,0.13171754,-0.00007877
267,0.11058286,-0.00006714
268,0.08942983,-0.00006927
269,0.06828535,-0.00006044
270,0.04716273,-0.00005190
271,0.02607010,-0.00004066
272,0.00503435,-0.00002505
273,-0.01593733,-0.00001457
274,-0.03682623,0.00000437
275,-0.05762150,0.00001402
276,-0.07831199,0.00001790
277,-0.09887169,0.00002543
278,-0.11929665,0.00002939
279,-0.13956277,0.00004640
